Period,Area,Mission,Category,Indicator,Observation
government-year/2020-2021,E10000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,19240.0
government-year/2018-2019,E08000011,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4100.0
government-year/2019-2020,E08000011,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3150.0
government-year/2020-2021,E08000011,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2930.0
government-year/2018-2019,E08000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,14860.0
government-year/2019-2020,E08000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11550.0
government-year/2020-2021,E08000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,12110.0
government-year/2018-2019,E08000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5660.0
government-year/2019-2020,E08000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4190.0
government-year/2020-2021,E08000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4280.0
government-year/2018-2019,E08000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4470.0
government-year/2019-2020,E08000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3390.0
government-year/2020-2021,E08000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3040.0
government-year/2018-2019,E08000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6760.0
government-year/2019-2020,E08000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4610.0
government-year/2020-2021,E08000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5120.0
government-year/2018-2019,E06000011,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7980.0
government-year/2019-2020,E06000011,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5770.0
government-year/2020-2021,E06000011,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5350.0
government-year/2018-2019,E06000010,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8940.0
government-year/2019-2020,E06000010,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5970.0
government-year/2020-2021,E06000010,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5770.0
government-year/2018-2019,E06000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3970.0
government-year/2019-2020,E06000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3140.0
government-year/2020-2021,E06000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2650.0
government-year/2018-2019,E06000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3570.0
government-year/2019-2020,E06000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3060.0
government-year/2020-2021,E06000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2670.0
government-year/2018-2019,E06000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2770.0
government-year/2019-2020,E06000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2390.0
government-year/2020-2021,E06000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2920.0
government-year/2018-2019,E10000023,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10620.0
government-year/2019-2020,E10000023,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9630.0
government-year/2020-2021,E10000023,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9910.0
government-year/2018-2019,E08000016,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6160.0
government-year/2019-2020,E08000016,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4540.0
government-year/2020-2021,E08000016,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4340.0
government-year/2018-2019,E08000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9860.0
government-year/2019-2020,E08000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5840.0
government-year/2020-2021,E08000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5410.0
government-year/2018-2019,E08000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5490.0
government-year/2019-2020,E08000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4460.0
government-year/2020-2021,E08000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4650.0
government-year/2018-2019,E08000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10530.0
