Label,Notation,Parent Notation,Sort Priority,Description
South West,south-west,,386,
South Yorkshire,south-yorkshire,,387,
Starting a new job,starting-a-new-job,,388,
Store information online and access content from a different device (such as using the cloud),store-information-online-and-access-content-from-a-different-device-such-as-using-the-cloud,,389,
Store it somewhere (not as a spare),store-it-somewhere-not-as-a-spare,,390,
Strongly agree,strongly-agree,,391,
Strongly disagree,strongly-disagree,,392,
"Surrey, East and West Sussex",surrey-east-and-west-sussex,,393,
Swimming,swimming,,394,
Tablet,tablet,,395,
Tabletl,tabletl,,396,
Taken part in a online security training course,taken-part-in-a-online-security-training-course,,397,
Taking part in a professional capacity,taking-part-in-a-professional-capacity,,398,
Taking part in a professional capacity [Note 5],taking-part-in-a-professional-capacity-note-5,,399,
Taking part in a voluntary capacity,taking-part-in-a-voluntary-capacity,,400,
Taking part in a voluntary capacity [Note 5],taking-part-in-a-voluntary-capacity-note-5,,401,
Taking part in some other way,taking-part-in-some-other-way,,402,
Taking part in some other way [Note 5],taking-part-in-some-other-way-note-5,,403,
Technology,technology,,404,
Tees Valley and Durham,tees-valley-and-durham,,405,
Tennis,tennis,,406,
The opening hours are inconvenient,the-opening-hours-are-inconvenient,,407,
Theatrical or dance performances,theatrical-or-dance-performances,,408,
"There were amenities  or free facilities such as toilets, communal space, restaurants, cafés, shops",there-were-amenities-or-free-facilities-such-as-toilets-communal-space-restaurants-cafes-shops,,409,
They are difficult to get to,they-are-difficult-to-get-to,,410,
They are too expensive,they-are-too-expensive,,411,
Through YouTube,through-youtube,,412,
Through a library website,through-a-library-website,,413,
Through social media,through-social-media,,414,
Throw it away,throw-it-away,,415,
To attend a live performance,to-attend-a-live-performance,,416,
To attend art exhibitions,to-attend-art-exhibitions,,417,
To be the Supreme Governor of the Church of England,to-be-the-supreme-governor-of-the-church-of-england,,418,
"To participate in dance, music or other creative arts activities",to-participate-in-dance-music-or-other-creative-arts-activities,,419,
To promote the UK abroad,to-promote-the-uk-abroad,,420,
"To provide a sense of continuity and act as a focus for national identity, unity and pride",to-provide-a-sense-of-continuity-and-act-as-a-focus-for-national-identity-unity-and-pride,,421,
To recognise and support the armed forces,to-recognise-and-support-the-armed-forces,,422,
"To recognise exceptional achievement by issuing honours (such as MBEs, OBEs)",to-recognise-exceptional-achievement-by-issuing-honours-such-as-mbes-obes,,423,
To see a specific exhibition or display,to-see-a-specific-exhibition-or-display,,424,
To spend time with family or friends,to-spend-time-with-family-or-friends,,425,
To support and encourage public service and charitable sectors,to-support-and-encourage-public-service-and-charitable-sectors,,426,
To undertake a constitutional role as Head of State (such as opening each new session of Parliament),to-undertake-a-constitutional-role-as-head-of-state-such-as-opening-each-new-session-of-parliament,,427,
To visit heritage sites,to-visit-heritage-sites,,428,
To visit museums,to-visit-museums,,429,
Took a child to an event,took-a-child-to-an-event,,430,
"Took part in an event (for example a reading group, film screening or author visit)",took-part-in-an-event-for-example-a-reading-group-film-screening-or-author-visit,,431,
Total,total,,432,
